region,selectivity,method,grp,metric,value
Core,10,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0284693069306931
Core,20,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0227752475247525
Core,30,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0229534653465346
Core,40,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0230792079207921
Core,50,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0232267326732673
Core,60,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0233881188118812
Core,70,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0302712871287129
Core,80,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0301019801980198
Core,90,cuckoo,FLOPS_AVX,Runtimeunhalted[s],0.0301732673267327
Core,10,cuckoo,L2,Clock[MHz],2802.0406990099
Core,20,cuckoo,L2,Clock[MHz],3089.72756930693
Core,30,cuckoo,L2,Clock[MHz],3090.79566138614
Core,40,cuckoo,L2,Clock[MHz],3092.26726534653
Core,50,cuckoo,L2,Clock[MHz],3092.19239009901
Core,60,cuckoo,L2,Clock[MHz],3092.22235049505
Core,70,cuckoo,L2,Clock[MHz],2494.08582376238
Core,80,cuckoo,L2,Clock[MHz],2494.1036019802
Core,90,cuckoo,L2,Clock[MHz],2494.04663663366
Core,10,cuckoo,L2,CPI,0.51450594059406
Core,20,cuckoo,L2,CPI,0.422846534653465
Core,30,cuckoo,L2,CPI,0.415820792079208
Core,40,cuckoo,L2,CPI,0.417087128712871
Core,50,cuckoo,L2,CPI,0.417280198019802
Core,60,cuckoo,L2,CPI,0.419509900990099
Core,70,cuckoo,L2,CPI,0.50999504950495
Core,80,cuckoo,L2,CPI,0.540237623762376
Core,90,cuckoo,L2,CPI,0.539084158415841
Core,10,cuckoo,L2,CPU_CLK_UNHALTED_CORE,73283576.9306931
Core,20,cuckoo,L2,CPU_CLK_UNHALTED_CORE,60400432.5742574
Core,30,cuckoo,L2,CPU_CLK_UNHALTED_CORE,59443762.970297
Core,40,cuckoo,L2,CPU_CLK_UNHALTED_CORE,59761287.1287129
Core,50,cuckoo,L2,CPU_CLK_UNHALTED_CORE,59896530.990099
